Heartrate (bpm),Error_rate,CPS,WPM,Text Length,ClassLabel
99,10,2.791654423,33.49985307,20,0
99,6.896551724,2.921535893,35.05843072,29,0
99,3.03030303,3.789224393,45.47069272,33,0
99,2.702702703,3.535303938,42.42364726,37,0
99,10.52631579,3.825717322,45.90860786,19,0
99,10.34482759,3.28022493,39.36269916,29,0
99,3.571428571,3.853839566,46.24607479,28,0
99,9.523809524,2.730748225,32.7689787,21,0
99,13.15789474,2.711615977,32.53939172,38,0
99,15.15151515,3.442711135,41.31253362,33,0
99,8.695652174,2.89626119,34.75513428,24,0
99,7.407407407,3.728667718,44.74401262,26,0
99,3.03030303,4.203888597,50.44666316,33,0
99,9.375,2.969917609,35.6390113,33,0
99,12.5,4.263206673,51.15848007,24,0
124,8.823529412,3.178578309,38.1429397,34,1
124,6.666666667,3.418198963,41.01838755,30,1
124,9.523809524,3.150102378,37.80122854,21,1
124,10.34482759,4.056795132,48.68154158,29,1
124,3.846153846,3.326679973,39.92015968,26,1
124,10.52631579,4.883199155,58.59838986,37,1
124,8.823529412,4.406462812,52.87755375,34,1
124,24.13793103,3.042155585,36.50586701,30,1
124,7.407407407,4.699927693,56.39913232,27,1
124,9.523809524,3.011141223,36.13369467,22,1
124,8,4.514672686,54.17607223,25,1
124,9.090909091,3.975766755,47.70920106,23,1
124,15.38461538,4.082965866,48.9955904,26,1
124,6.896551724,4.265041889,51.18050267,30,1
124,6.060606061,4.481165103,53.77398124,33,1
81,3.225806452,2.802690583,33.632287,31,0
81,5,3.316460115,39.79752138,20,0
81,3.846153846,2.727471089,32.72965307,26,0
81,2.941176471,2.903907075,34.8468849,34,0
81,3.333333333,3.171131766,38.05358119,30,0
81,3.125,2.998935861,35.98723034,32,0
81,5.882352941,3.201280512,38.41536615,17,0
81,4,3.216295899,38.59555079,25,0
81,3.125,2.201860928,26.42233113,32,0
81,3.333333333,3.14840951,37.78091412,30,0
81,3.571428571,2.170767004,26.04920405,28,0
81,3.333333333,2.024998254,24.29997905,30,0
81,3.125,3.290171938,39.48206326,32,0
81,3.333333333,2.502588885,30.03106662,30,0
81,3.225806452,2.543019412,30.51623294,31,0
163,3.846153846,2.457968735,29.49562482,26,1
163,9.375,3.20977428,38.51729136,32,1
163,7.692307692,3.152187618,37.82625142,26,1
163,3.225806452,2.148073894,25.77688672,31,1
163,3.846153846,2.034174125,24.4100895,26,1
163,3.448275862,1.955443816,23.46532579,29,1
163,4.166666667,2.274525316,27.2943038,24,1
163,3.225806452,3.289113036,39.46935643,31,1
163,5.882352941,1.602724632,19.23269558,17,1
163,3.448275862,2.571402333,30.85682799,29,1
163,3.333333333,3.252579632,39.03095559,30,1
163,7.692307692,2.303086135,27.63703363,26,1
163,3.571428571,3.473115513,41.67738616,28,1
163,3.571428571,3.189227498,38.27072998,28,1
163,3.846153846,2.539876054,30.47851265,26,1
93,0,3.303964758,39.64757709,31,0
93,0,2.644148755,31.72978506,32,0
93,3.448275862,2.31845657,27.82147884,30,0
93,0,2.849002849,34.18803419,22,0
93,0,2.645502646,31.74603175,22,0
93,0,3.264544713,39.17453655,29,0
93,0,4.176904177,50.12285012,18,0
93,0,3.729852138,44.75822566,29,0
93,0,3.464377165,41.57252598,24,0
93,0,2.771454024,33.25744828,29,0
93,0,2.501359434,30.01631321,24,0
93,0,3.374233129,40.49079755,23,0
93,0,3.083700441,37.00440529,29,0
93,6.451612903,3.394817246,40.73780695,31,0
93,0,3.140703518,37.68844221,31,0
175,4,2.100656455,25.20787746,25,1
175,3.03030303,2.38077524,28.56930288,33,1
175,2.941176471,2.498864153,29.98636983,34,1
175,0,2.846054334,34.15265201,34,1
175,8,3.892312682,46.70775219,25,1
175,4.545454545,2.135448444,25.62538133,22,1
175,2.941176471,2.931509283,35.1781114,34,1
175,4,3.416856492,41.0022779,25,1
175,3.846153846,2.974419988,35.69303986,26,1
175,4.545454545,2.821063944,33.85276733,22,1
175,2.941176471,3.191489362,38.29787234,34,1
175,3.448275862,2.522749797,30.27299757,29,1
175,4,3.733665215,44.80398258,25,1
175,2.941176471,3.561791689,42.74150027,34,1
175,7.692307692,3.948199621,47.37839545,26,1
92,2.631578947,1.36425648,16.37107776,38,0
92,3.125,2.007381985,24.08858382,32,0
92,3.703703704,1.922508134,23.0700976,27,0
92,3.846153846,1.862197393,22.34636872,26,0
92,4,1.744186047,20.93023256,25,0
92,5.263157895,1.694915254,20.33898305,19,0
92,2.941176471,2.135784092,25.6294091,34,0
92,8,2.433336713,29.20004056,25,0
92,5.263157895,2.326783868,27.92140641,19,0
92,3.125,1.65624833,19.87497996,32,0
92,7.692307692,2.040316657,24.48379989,26,0
92,5.555555556,1.893734444,22.72481333,36,0
92,3.703703704,1.898919077,22.78702892,27,0
92,4.347826087,1.949490474,23.39388569,23,0
92,3.225806452,1.769598301,21.23517961,31,0
161,5,2.567220646,30.80664775,20,1
161,3.333333333,1.957871996,23.49446395,30,1
161,4.347826087,1.925601751,23.10722101,23,1
161,4.166666667,1.695290042,20.3434805,24,1
161,3.703703704,1.740061571,20.88073886,27,1
161,2.857142857,1.688601937,20.26322324,35,1
161,4.166666667,1.762587171,21.15104606,24,1
161,3.448275862,1.523975399,18.28770478,29,1
161,4.347826087,2.038547072,24.46256486,23,1
161,3.703703704,1.396873153,16.76247784,27,1
161,3.225806452,1.697504668,20.37005602,31,1
161,3.846153846,2.138031301,25.65637561,26,1
161,8.333333333,1.720662701,20.64795241,38,1
161,3.03030303,2.136038983,25.63246779,33,1
161,3.448275862,1.590186279,19.08223535,29,1
100,3.846153846,2.107392734,25.2887128,26,0
100,3.846153846,2.705920554,32.47104665,26,0
100,2.857142857,3.140877598,37.69053118,35,0
100,3.125,3.08396339,37.00756068,32,0
100,2.857142857,2.629340345,31.55208414,35,0
100,2.857142857,1.986445431,23.83734517,35,0
100,3.846153846,3.150201613,37.80241935,26,0
100,2.631578947,3.393872684,40.72647221,38,0
100,3.333333333,2.599964138,31.19956966,30,0
100,3.225806452,2.417405318,29.00886382,31,0
100,3.846153846,3.414367659,40.97241191,26,0
100,4,3.331945023,39.98334027,25,0
100,3.703703704,3.279102031,39.34922437,27,0
100,4.545454545,3.249265047,38.99118057,22,0
100,5,3.497790869,41.97349043,20,0
163,3.846153846,1.288859102,15.46630922,26,1
163,3.03030303,1.736016926,20.83220311,33,1
163,2.564102564,2.535023349,30.42028019,39,1
163,3.333333333,3.088720844,37.06465012,30,1
163,4.761904762,3.098373354,37.18048025,21,1
163,3.125,2.280082377,27.36098853,32,1
163,3.125,2.730074857,32.76089828,32,1
163,3.571428571,2.576335878,30.91603053,28,1
163,4,3.144654088,37.73584906,25,1
163,2.941176471,3.428927681,41.14713217,34,1
163,2.941176471,1.84512161,22.14145932,34,1
163,2.941176471,3.091914176,37.10297011,34,1
163,3.846153846,3.029568589,36.35482307,26,1
163,4.761904762,2.359882006,28.31858407,21,1
163,3.448275862,3.343283582,40.11940299,29,1
63,3.571428571,1.74689441,20.96273292,28,0
63,3.333333333,1.561574498,18.73889397,30,0
63,3.333333333,1.827347196,21.92816635,30,0
63,3.571428571,2.149339277,25.79207133,28,0
63,3.846153846,2.002402883,24.0288346,26,0
63,2.5,2.028081123,24.33697348,40,0
63,4.347826087,1.724408214,20.69289857,23,0
63,5.882352941,2.453611409,29.44333691,17,0
63,3.333333333,1.631046119,19.57255343,30,0
63,5.555555556,3.19009195,38.2811034,18,0
63,3.91,1.881467545,22.57761054,36,0
63,3.846153846,1.848155541,22.17786649,26,0
63,4.545454545,1.641394404,19.69673284,22,0
63,3.333333333,1.816359764,21.79631717,30,0
63,3.703703704,1.738084097,20.85700916,27,0
125,3.225806452,0.986452716,11.83743259,31,1
125,3.703703704,2.387511478,28.65013774,27,1
125,2.857142857,2.331321997,27.97586396,35,1
125,3.571428571,1.598673693,19.18408432,28,1
125,2.43902439,1.732877009,20.79452411,41,1
125,3.03030303,2.127659574,25.53191489,33,1
125,5,1.284130846,15.40957015,20,1
125,4.545454545,1.84631616,22.15579392,22,1
125,3.333333333,1.427165354,17.12598425,30,1
125,4.545454545,2.49881009,29.98572109,22,1
125,3.846153846,2.819760884,33.83713061,26,1
125,4.347826087,1.451474566,17.41769479,23,1
125,4.347826087,2.129925453,25.55910543,23,1
125,5,2.483335512,29.80002614,20,1
125,5.555555556,2.427857936,29.13429523,36,1
